ID,text
64," In addition to teaching
PE at District 203’s Madison Junior High, he coached Naperville Central’s
baseball team and served as the district coordinator for PE, but even in these
respectable posts, sometimes he was embarrassed to admit what he did for a
living"
65," Part of what he saw in that article was an opportunity — a chance to
make his job matter"
66,"
When Lawler and his staff at Madison took a close look at what was
happening in gym, they saw a lot of inactivity"
67," It’s the nature of team sports:
waiting for a turn at bat, waiting for the center’s snap, waiting for the soccer ball
to come your way"
68," Most of the time, most of the players just stood around"
69," So
Lawler decided to shift the focus to cardiovascular fitness, and he instituted a
radical new feature to the curriculum"
70," Once a week in gym class, the kids would
run the mile"
71," Every single week! His decision met with groans from students,
complaints from parents, and notes from doctors"
72,"
He was undeterred, yet he quickly recognized that the grading scale
discouraged the slowest runners"
73," To offer nonathletes a shot at good marks, the
department bought a couple of Schwinn Airdyne bikes and allowed students to
earn extra credit"
74," They could come in on their own time and ride five miles to
raise their grades"
75," “So any kid who wanted to get an A could get an A if he
worked for it,” Lawler explains"
76," “Somewhere in this process, we got intopersonal bests"
77," Anytime you got a personal best, no matter what it was, you
moved up a letter grade"
78,"” And this led to the founding principle of the approach
he dubbed the New PE: Students would be assessed on effort rather than skill"
79,"
You didn’t have to be a natural athlete to do well in gym"
80,"
But how does one judge the individual effort of forty kids at a time? Lawler
found his answer at a physical education conference he organized every spring"
81,"
He worked hard to turn the event into an exchange of fresh ideas and
technologies, and to encourage attendance he talked the vendors into donating
door prizes"
82," Each year at the beginning of the conference, he would push a towel
cart through the aisles, collecting bats and balls and other sporting goods"
83," Cast in
among the bounty one year was a newfangled heart rate monitor, which at the
time was worth hundreds of dollars"
84," He couldn’t help himself; he stole it for the
revolution"
85," “I saw that son of a buck,” he freely admits, “and I said, That’s a
door prize for Madison Junior High!”
During the weekly mile, he tested the device on a sixth-grade girl who was
thin but not the least bit athletic"
86," When Lawler downloaded her stats, he couldn’t
believe what he found"
87, “Her average heart rate was 187!” he exclaims
88," As an
eleven-year-old, her maximum heart rate would have been roughly 209, meaning
she was plugging away pretty close to full tilt"
89," “When she crossed the finish line,
she went up to 207,” Lawler continues"
90," “Ding, ding, ding! I said, You gotta be
kidding me! Normally, I would have gone to that girl and said, You need to get
your ass in gear, little lady! It was really that moment that caused dramatic
changes in our overall program"
91," The heart rate monitors were a springboard for
everything"
92," I started thinking back to all the kids we must have turned off to
exercise because we weren’t able to give them credit"
93," I didn’t have an athlete in
class who knew how to work as hard as that little girl"
94,"”
He realized that being fast didn’t necessarily have anything to do with being
fit"
95,"
One of Lawler’s favorite statistics is that less than 3 percent of adults over the
age of twenty-four stay in shape through playing team sports, and this
underscores the failings of traditional gym class"
96," But he knew he couldn’t have
the students run the mile every day, so he set up a program of what they have
termed “small-sided sports” — three-on-three basketball or four-on-four soccer
— where the students are constantly moving"
97," “We still play sports,” Lawler
says"
98, “We just do them within a fitness model
99,"” Instead of being tested on such
trivia as the dimensions of a regulation volleyball court, Naperville’s gym
students are graded on how much time they spend in their target heart rate zones
during any given activity"
100,"
“We developed the program not knowing what we were doing,” Lawler says"
101,"And yet, the New PE has managed to put into practice principles consistent with
all the new research about exercise and the brain"
102,"CARRYING THE TORCH
Every revolutionary leader needs a lieutenant, and Lawler couldn’t have chosen
a more able agitator than Paul Zientarski, Naperville Central High School’s
physical education coordinator and former football coach"
103," To students and
colleagues, Zientarski is Mr"
104," Z, a gray-haired furnace of a man with steady eyes
and a facts-is-facts delivery"
105," He has the presence of Mike Ditka and Bill Parcells
rolled into one formidable figure of authority"
106," “It took me the longest time to
convince him of this stuff,” says Lawler of his friend and ally"
107," “But once he buys
into it, get out of his way"
108," Because he’s going to shove it down your throat if he
has to"
109,"”
As their movement grew, Lawler would take the lead in proselytizing the
outside world with the fitness-not-sports message, talking to Newsweek and
testifying before the U"
110,S
111," Senate, and Zientarski would become the unwavering
enforcer of the mission back home, transforming the phys ed program at
Naperville Central into a well-oiled working model of the New PE"
112," Lawler
retired from teaching in 2004 after being diagnosed with colon cancer, but he has
continued to lobby for daily physical education even during his back-and-forth
battle with the disease"
113,"
They’ve both become grassroots experts on the subject of exercise and the
brain"
114," They learned by grilling speakers from the conferences Lawler organized,
attending sports physiology seminars, reading neuroscience research papers, and
constantly e-mailing their findings to each other"
115," And they’ve taken it upon
themselves to educate their colleagues as well"
116," It’s not uncommon for Zientarski
to buttonhole an English teacher in the hallway and hand her a stack of the latest
brain research — homework from the gym teacher"
117,"
It’s because of their relentless spirit of investigation that I got to know these
two men"
118," Lawler heard me interviewed on the National Public Radio program
The Infinite Mind, during which I referred to a protein that’s elevated during
exercise as “Miracle-Gro for the brain"
119,"” Unbeknownst to me, Lawler began
repeating the phrase in interviews of his own, including one with the director of
a documentary film about obesity in America, Super Size Me (2004)"
120,"
I had been looking for a concrete way to illustrate the effects of exercise on
learning for this book, and focusing on a school district was a natural way to do
that"
121," But I also think the sheer size of the Naperville experiment gives it a
broader resonance"
122," The story is about students, but the lessons apply to adults
too"
123, What Naperville provides is a powerful case study on how aerobic activitycan transform not only the body but also the mind
124," It also happens to be a
wonderful template for reshaping our society"
125,"
So I made the journey to Illinois, and as I sat with Lawler and Zientarski in
the atrium of the Naperville Holiday Inn, I listened to them say things I never
expected to hear from a couple of coaches"
126," “In our department, we create the
brain cells,” Zientarski says"
127, “It’s up to the other teachers to fill them
128,"”
A NEW STEREOTYPE: THE SMART JOCK
Lawler’s tack runs opposite the trend in American public schools of cutting
physical education in favor of increasing study time in math, science, and
English — an effort to help students pass tests dictated by the No Child Left
Behind Act"
129, Only 6 percent of U
130,S
131," high schools offer a daily physical education
class"
132," At the same time, kids are spending an average of 5"
133,"5 hours a day in front
of a screen of some sort — television, computer, or handheld device"
134," It’s not
surprising that American children are less active than they’ve ever been"
135,"
That is why I was so inspired by what’s going on in Naperville"
136," The first time
I visited, it was just before school let out for the summer, but you wouldn’t have
known that by watching gym class at Madison Junior High"
137," There must have
been thirty kids jumping around with the sort of energy and enthusiasm you
would only expect to see at the beginning of the school year: lining up to get on
the climbing wall, arguing about who was going to get to use a new exercise
bike attached to a video-game monitor, running wildly on treadmills, playing a
video game called Dance Dance Revolution, where you dance on a control pad"
138,"
They were all wearing heart rate monitors, and — most important — they were
all engaged"
139,"
Some 30 percent of U"
140,S
141," schoolchildren are overweight — six times more
than in 1980 — and another 30 percent are on the cusp"
142," In Lawler’s district, an
astonishing 97 percent of freshmen in 2001, and again in 2002, were at a healthy
weight according to body mass index guidelines from the Centers for Disease
Control (CDC)"
143," In the spring of 2005, an independent assessment of Naperville
203 students’ fitness showed even better results"
144," A sports physiologist named
Craig Broeder and a team of his graduate students from Benedictine University
came in and tested a random sampling of 270 students, from sixth graders
through high school seniors"
145," “I can tell you that the Naperville school system is
miles ahead of the national norm in terms of fitness,” says Broeder, a former
regional president of the American College of Sports Medicine"
146, “It’s not evenclose
147, They had one male out of a hundred thirty something who was obese
148," It’s
amazing"
149," Their percentages of body fat were way below national norms using
the CDC’s height and weight standards"
150," On other fitness variables, something
like ninety-eight percent of the students passed"
151,"”
Broeder is perfectly aware of Naperville’s demographics, yet he’s still
impressed"
152," “The numbers are too high for it to just be that,” he says"
153," “The PE
program itself has to have had an additive impact on what that population would
achieve otherwise"
154," Let me put it this way: you can’t say for sure that the PE
program does it, but their fitness is so far off the scale that it can’t be just
because it’s Naperville"
155,"”
But what, exactly, do we know about the effect of gym on GPA? Few
researchers have tackled the question, although one study from Virginia Tech
showed that cutting gym class and allocating more time to math, science, and
reading did not improve test scores, as so many school administrators assume it
will"
156," Because gym class can mean so many things, research in this area has
focused on the correlation between physical fitness and academic achievement"
157,"
The most telling studies come from the California Department of Education
(CDE)"
158," Over the past five years, the CDE has consistently shown that students
with higher fitness scores also have higher test scores"
159,"
The CDE correlated scores from standard achievement tests with scores from
the FitnessGram, the state-mandated physical assessment, for more than one
million students"
160," The FitnessGram measures six areas: aerobic capacity,
percentage of body fat, abdominal strength and endurance, trunk strength and
flexibility, upper body strength, and overall flexibility"
161," Students earn one point
for each area if they pass the minimum requirements, so the top score on the
FitnessGram is six"
162," It’s worth noting that this test doesn’t measure how fit a
student is, just whether he or she is acceptably fit in each area"
163," In other words,
it’s pass-fail"
164,"
In 2001 fit kids scored twice as well on academic tests as their unfit peers"
165,"
Among California’s 279,000 ninth graders, for instance, those who scored a six
on the FitnessGram ranked, on average, in the sixty-seventh percentile in math
and the forty-fifth percentile in reading on the Stanford Achievement Test"
166," If
these scores seem less than stellar, consider those of the students who passed
only one of the six areas: they ranked in the thirty-fifth and twenty-first
percentiles, respectively"
167,"
When the CDE repeated the study in 2002, it factored in socioeconomic
status"
168," As expected, students with a higher standard of living scored better on the
academic tests, but the results also showed that within the lower-income
students, fitter kids scored better than unfit kids"
169, This is a powerful statistic initself
170," It suggests that although parents may not have immediate control over
their financial situations, they can improve their kids’ chances of performing
well by encouraging them to get in shape"
171, Exercise could break the cycle
172,"
The California studies don’t stand alone"
173," In 2004 a panel of thirteen noted
researchers in fields ranging from kinesiology to pediatrics conducted a massive
review of more than 850 studies about the effects of physical activity on schoolage children"
174," Most of the studies measured the effects of thirty to forty-five
minutes of moderate to vigorous physical activity three to five days a week"
175,"
They covered a wide range of issues, such as obesity, cardiovascular fitness,
blood pressure, depression, anxiety, self-concept, bone density, and academic
performance"
176," Based on strong evidence in a number of these categories, the
panel issued a recommendation that schoolchildren should participate in one
hour (or more) of moderate to vigorous physical activity a day"
177," Looking
specifically at academic performance, the panel found enough evidence to
support the findings of the California studies, and it also reported that physical
activity has a positive influence on memory, concentration, and classroom
behavior"
178," It didn’t specify gym class, but you can see how the students in
Naperville are getting a healthy jump start"
